Time (ms),Current (A)
0,0.513913818536575
0.001,0.464976792573791
0.002,0.418373139626029
0.003,0.379881469182837
0.004,0.35415415008789
0.005,0.304935281092103
0.006,0.280002396447018
0.007,0.257232798082399
0.008,0.236415907338517
0.009,0.22083751263859
0.01,0.193321730990302
0.011,0.175183911363074
0.012,0.165520804755598
0.013,0.145624105833161
0.014,0.140515028991961
0.015,0.120895320321845
0.016,0.110910348739782
0.017,0.101090375114676
0.018,0.0872388196057536
0.019,0.0764953542594987
0.02,0.0690153078904845
0.021,0.0789960328225825
0.022,0.0600649328945601
0.023,0.0673613370610892
0.024,0.0595936785048646
0.025,0.0584987591728065
0.026,0.0558968292455595
0.027,0.0363965419408249
0.028,0.0382830342096291
0.029,0.0471228666225047
0.03,0.0377894147036395
0.031,0.0404527967858576
0.032,0.0300257100979191
0.033,0.0187234452044005
0.034,0.0291442418688589
0.035,0.0197205989733819
0.036,0.024210540479179
0.037,0.0268616024623145
0.038,0.0233337017509815
0.039,0.0218882846388072
0.04,0.0178265162450282
0.041,0.0131697955710211
0.042,0.016076995485799
0.043,0.00698782861653601
0.044,0.0183150989324214
0.045,0.0247140020330683
0.046,0.00693484834330881
0.047,0.00525944981845086
0.048,0.021839575751025
0.049,0.0086621188366121
0.05,0.00354727462460947
0.051,0.0193467787117186
0.052,0.00556827094135572
0.053,0.0200931257591352
0.054,0.00416582619311683
0.055,0.00909458774420482
0.056,0.0137173432139913
0.057,0.0133766154983075
0.058,0.014867412656378
0.059,0.0143302647104983
0.06,0.00990675743510502
0.061,0.00391660904172805
0.062,0.0160533054776495
0.063,0.00575388826025882
0.064,0.0138399650861482
0.065,0.0178992008131781
0.066,0.00236759343967693
0.067,0.0200572391855936
0.068,0.00118608628510472
0.069,0.0172119837234214
0.07,0.0171702079461945
0.071,0.00140970248854481
0.072,0.0112910170820049
0.073,0.0192011661807065
0.074,0.00673508777796457
0.075,0.0164058782609406
0.076,0.0122782008217765
0.077,0.0160188228939042
0.078,0.0161885681903762
0.079,0.00117666708179376
0.08,0.00583170399077017
0.081,0.0132209060486387
0.082,0.00993043369155549
0.083,0.01958130315377
0.084,0.0150822318616311
0.085,0.0114585571792815
0.086,0.00607133616597773
0.087,0.00520548852673058
0.088,0.0178066424257787
0.089,0.00900421171889702
0.09,0.0163814499679675
0.091,0.00202257893913781
0.092,0.017242388770424
0.093,0.000598292278962588
0.094,0.0180244907179056
0.095,0.0180361359254674
0.096,0.0105159845605927
0.097,0.00243463200046931
0.098,0.00358360763616167
0.099,0.0141472392312004
0.1,0.0166498950926222
